HIT_BUCKET,count,mean,policy_count,policy_mean
0-14%,0,,0,
15-28%,168,0.10119047619047619,3,0.0
29-42%,385,0.2831168831168831,22,0.5
43-56%,3051,0.4972140281874795,340,0.5941176470588235
57-70%,3951,0.6271829916476841,698,0.7020057306590258
71-84%,904,0.7621681415929203,183,0.7759562841530054
85-100%,76,0.8947368421052632,9,0.8888888888888888
