League,PICK_FINAL,count,hit,MARKET,hit_adj_mkt
Colombia - Primera A,X,2,0.5,1X2,0.5619897959183674
Croatia - HNL,BTTS_No,4,0.5,BTTS,0.5236278977610461
Croatia - HNL,BTTS_Yes,16,0.5,BTTS,0.508705014964596
Croatia - HNL,MS1,17,0.8823529411764706,1X2,0.8404974489795919
Croatia - HNL,MS2,3,0.3333333333333333,1X2,0.46832482993197283
Croatia - HNL,Over2.5,8,0.75,OU,0.6990548099975199
Croatia - HNL,Under2.5,37,0.5675675675675675,OU,0.567240072749318
Croatia - HNL,X,4,0.25,1X2,0.4014212827988338
Cyprus - First Division,BTTS_No,6,0.5,BTTS,0.518377253814147
Cyprus - First Division,BTTS_Yes,32,0.34375,BTTS,0.36186843669506635
Cyprus - First Division,MS1,32,0.75,1X2,0.7374271137026239
Cyprus - First Division,MS2,20,0.75,1X2,0.7308673469387755
Cyprus - First Division,Over2.5,7,0.7142857142857143,OU,0.6689602909972718
Cyprus - First Division,Under2.5,19,0.42105263157894735,OU,0.44043649590785083
Cyprus - First Division,X,6,1.0,1X2,0.8677721088435375
Czech - 1Liga,BTTS_No,4,1.0,BTTS,0.8093421834753318
Czech - 1Liga,BTTS_Yes,37,0.4594594594594595,BTTS,0.4666348821081831
Czech - 1Liga,MS1,31,0.6774193548387096,1X2,0.6708808523409364
Czech - 1Liga,MS2,20,0.6,1X2,0.6004325643300799
Czech - 1Liga,Over2.5,9,0.6666666666666666,OU,0.6408002424977265
Czech - 1Liga,Under2.5,19,0.47368421052631576,OU,0.4858910413623963
Czech - 1Liga,X,13,0.15384615384615385,1X2,0.2381218112244898
Denmark - Superliga,BTTS_No,1,0.0,BTTS,0.4163488210818308
Denmark - Superliga,BTTS_Yes,45,0.6444444444444445,BTTS,0.6388624017568193
Denmark - Superliga,MS1,19,0.47368421052631576,1X2,0.4913613172541744
Denmark - Superliga,MS2,1,1.0,1X2,0.7024872448979592
Denmark - Superliga,Over2.5,13,0.5384615384615384,OU,0.5431001818732949
Denmark - Superliga,Under2.5,4,0.5,OU,0.5270861299961027
Denmark - Superliga,X,1,0.0,1X2,0.4524872448979592
Ecuador - LigaPro,BTTS_No,6,0.3333333333333333,BTTS,0.4072661427030359
Ecuador - LigaPro,BTTS_Yes,49,0.5306122448979592,BTTS,0.5320268323909101
Ecuador - LigaPro,MS1,32,0.65625,1X2,0.6517128279883382
Ecuador - LigaPro,MS2,2,0.5,1X2,0.5619897959183674
Ecuador - LigaPro,Over2.5,6,0.16666666666666666,OU,0.29884476777474656
Ecuador - LigaPro,Under2.5,51,0.5294117647058824,OU,0.5312889427772726
Ecuador - LigaPro,X,11,0.09090909090909091,1X2,0.2007106413994169
England - Championship,BTTS_No,32,0.46875,BTTS,0.4761541509807807
England - Championship,BTTS_Yes,73,0.4931506849315068,BTTS,0.495597306372728
England - Championship,MS1,50,0.54,1X2,0.5435839430111667
England - Championship,MS2,6,0.5,1X2,0.5344387755102041
England - Championship,Over2.5,21,0.5238095238095238,OU,0.5287334545821966
England - Championship,Under2.5,108,0.6111111111111112,OU,0.6098162424321867
England - Championship,X,24,0.08333333333333333,1X2,0.14110922146636432
